priority_score,fonte,nome,instagram,telefone,whatsapp_link,site,cidade,pais,bairro,nicho,tem_link_na_bio,tem_site,tem_whatsapp_visivel,score,observacao,link_origem,status,data_coleta
4,Instagram,alessandradesign_,https://www.instagram.com/alessandradesign_/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/alessandradesign_/,novo,2026-02-12T19:54:25+00:00
4,Instagram,bbrows_design,https://www.instagram.com/bbrows_design/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/bbrows_design/,novo,2026-02-12T19:45:24+00:00
4,Instagram,bfsobrancelhas,https://www.instagram.com/bfsobrancelhas/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/bfsobrancelhas/,novo,2026-02-12T19:45:24+00:00
4,Instagram,elenamorales_beautycenter,https://www.instagram.com/elenamorales_beautycenter/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/elenamorales_beautycenter/,novo,2026-02-12T19:45:24+00:00
4,Instagram,eyebrowdesignporto,https://www.instagram.com/eyebrowdesignporto/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/eyebrowdesignporto/,novo,2026-02-12T19:45:24+00:00
4,Instagram,fernanda.sobrancelhas,https://www.instagram.com/fernanda.sobrancelhas/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/fernanda.sobrancelhas/,novo,2026-02-12T19:45:24+00:00
4,Instagram,gabrielasobrancelhas,https://www.instagram.com/gabrielasobrancelhas/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/gabrielasobrancelhas/,novo,2026-02-12T19:45:24+00:00
4,Instagram,giselebiazottopmu,https://www.instagram.com/giselebiazottopmu/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/giselebiazottopmu/,novo,2026-02-12T19:45:24+00:00
4,Instagram,jessicabeautyacademy,https://www.instagram.com/jessicabeautyacademy/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/jessicabeautyacademy/,novo,2026-02-12T19:45:24+00:00
4,Instagram,lindasouzasobrancelhas,https://www.instagram.com/lindasouzasobrancelhas/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/lindasouzasobrancelhas/,novo,2026-02-12T19:45:24+00:00
